feature,importance
totalEvents,0.13937282229965156
maxGyroMagnitudeRadS,0.1254355400696864
suddenTurnEvents,0.10801393728222997
suddenTurnRatePer100Readings,0.10452961672473868
sensorReadings,0.08362369337979095
speedStdKmh,0.06620209059233449
durationSec,0.06620209059233449
maximumSpeedKmh,0.0627177700348432
averageSpeedKmh,0.059233449477351915
maxTimeBetweenReadingsSec,0.04878048780487805
meanTimeBetweenReadingsSec,0.03484320557491289
distanceKm,0.0313588850174216
meanAccelerationMagnitude,0.027874564459930314
maxAccelerationMagnitude,0.020905923344947737
meanGyroMagnitudeRadS,0.020905923344947737
speedEvents,0.0
hardAccelerationEvents,0.0
hardBrakingEvents,0.0
hardBrakingRatePer100Readings,0.0
hardAccelerationRatePer100Readings,0.0
